Paper Title,Authors,Publisher / Journal / Conference,Year,Abstract Summary,Method Used,Result,Limitations,Future Work,Source Link / DOI
Illegal Logging Detection Based on Acoustic Surveillance of Forest,"Iosif Mporas, Isidoros Perikos, Vasilios Kelefouras, Michael Paraskevas",Applied Sciences,2020,"In this article, we present a framework for automatic detection of logging activity in forests using audio recordings. The framework was evaluated in terms of logging detection classification performance and various widely used classification methods and algorithms were tested. Experimental setups, using different ratios of sound-to-noise values, were followed and the best classification accuracy was reported by the support vector machine algorithm. In addition, a postprocessing scheme on decision level was applied that provided an improvement in the performance of more than 1%, mainly in cases of low ratios of sound-to-noise. Finally, we evaluated a late-stage fusion method, combining the postprocessed recognition results of the three top-performing classifiers, and the experimental results showed a further improvement of approximately 2%, in terms of absolute improvement, with logging sound recognition accuracy reaching 94.42% when the ratio of sound-to-noise was equal to 20 dB.",See abstract for proposed approach/methodology.,See abstract for key results.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.3390/app10207379
A Comprehensive Survey on TinyML,"Youssef Abadade, Anas Temouden, Hatim Bamoumen, Nabil Benamar, Yousra Chtouki et al.",IEEE Access,2023,"Recent spectacular progress in computational technologies has led to an unprecedented boom in the field of Artificial Intelligence (AI). AI is now used in a plethora of research areas and has demonstrated its capability to bring new approaches and solutions to various research problems. However, the extensive computation required to train AI algorithms comes with a cost. Driven by the need to reduce the energy consumption, the carbon footprint and the cost of computers running machine learning algorithms, TinyML is nowadays considered as a promising AI alternative focusing on technologies and applications for extremely low-profile devices. This paper presents the results of a literature survey of all TinyML applications and related research efforts. Our survey builds a taxonomy of TinyML techniques that have been used so far to bring new solutions to various domains, such as healthcare, smart farming, environment, and anomaly detection. Finally, this survey highlights the remaining challenges and points out possible future research directions. We anticipate that this survey will motivate further discussions on the various fields of applications of TinyML and the synergy of resource-constrained devices and edge intelligence.",Described in full text/abstract.,See abstract for key results.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1109/access.2023.3294111
Characterizing soundscapes across diverse ecosystems using a universal acoustic feature set,"Sarab S. Sethi, Nick S. Jones, Ben Fulcher, Lorenzo Picinali, Dena J. Clink et al.",Proceedings of the National Academy of Sciences,2020,"Natural habitats are being impacted by human pressures at an alarming rate. Monitoring these ecosystem-level changes often requires labor-intensive surveys that are unable to detect rapid or unanticipated environmental changes. Here we have developed a generalizable, data-driven solution to this challenge using eco-acoustic data. We exploited a convolutional neural network to embed soundscapes from a variety of ecosystems into a common acoustic space. In both supervised and unsupervised modes, this allowed us to accurately quantify variation in habitat quality across space and in biodiversity through time. On the scale of seconds, we learned a typical soundscape model that allowed automatic identification of anomalous sounds in playback experiments, providing a potential route for real-time automated detection of irregular environmental behavior including illegal logging and hunting. Our highly generalizable approach, and the common set of features, will enable scientists to unlock previously hidden insights from acoustic data and offers promise as a backbone technology for global collaborative autonomous ecosystem monitoring efforts.",Described in full text/abstract.,Described in full text.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1073/pnas.2004702117
Deep Learning Approach for Intelligent Intrusion Detection System,"R. Vinayakumar, Mamoun Alazab, K. P. Soman, Prabaharan Poornachandran, Ameer Al-Nemrat et al.",IEEE Access,2019,"Machine learning techniques are being widely used to develop an intrusion detection system (IDS) for detecting and classifying cyberattacks at the network-level and the host-level in a timely and automatic manner. However, many challenges arise since malicious attacks are continually changing and are occurring in very large volumes requiring a scalable solution. There are different malware datasets available publicly for further research by cyber security community. However, no existing study has shown the detailed analysis of the performance of various machine learning algorithms on various publicly available datasets. Due to the dynamic nature of malware with continuously changing attacking methods, the malware datasets available publicly are to be updated systematically and benchmarked. In this paper, a deep neural network (DNN), a type of deep learning model, is explored to develop a flexible and effective IDS to detect and classify unforeseen and unpredictable cyberattacks. The continuous change in network behavior and rapid evolution of attacks makes it necessary to evaluate various datasets which are generated over the years through static and dynamic approaches. This type of study facilitates to identify the best algorithm which can effectively work in detecting future cyberattacks. A comprehensive evaluation of experiments of DNNs and other classical machine learning classifiers are shown on various publicly available benchmark malware datasets. The optimal network parameters and network topologies for DNNs are chosen through the following hyperparameter selection methods with KDDCup 99 dataset. All the experiments of DNNs are run till 1,000 epochs with the learning rate varying in the range [0.01-0.5]. The DNN model which performed well on KDDCup 99 is applied on other datasets, such as NSL-KDD, UNSW-NB15, Kyoto, WSN-DS, and CICIDS 2017, to conduct the benchmark. Our DNN model learns the abstract and high-dimensional feature representation of the IDS data by passing them into many hidden layers. Through a rigorous experimental testing, it is confirmed that DNNs perform well in comparison with the classical machine learning classifiers. Finally, we propose a highly scalable and hybrid DNNs framework called scale-hybrid-IDS-AlertNet which can be used in real-time to effectively monitor the network traffic and host-level events to proactively alert possible cyberattacks.",See abstract for proposed approach/methodology.,Described in full text.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1109/access.2019.2895334
msoe-dise-project/tinyml-acoustic-monitoring-project: Version for Publication,RJ Nowling,Open MIND,2026,"Release of version of software used in ""Illustrating TinyML on Microcontrollers with an Acoustic Monitoring Project"" paper.",Described in full text/abstract.,Described in full text.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.5281/zenodo.18571650
TUT database for acoustic scene classification and sound event detection,"Annamaria Mesaros, Toni Heittola, Tuomas Virtanen",Unknown Source,2016,"We introduce TUT Acoustic Scenes 2016 database for environmental sound research, consisting of binaural recordings from 15 different acoustic environments. A subset of this database, called TUT Sound Events 2016, contains annotations for individual sound events, specifically created for sound event detection. TUT Sound Events 2016 consists of residential area and home environments, and is manually annotated to mark onset, offset and label of sound events. In this paper we present the recording and annotation procedure, the database content, a recommended cross-validation setup and performance of supervised acoustic scene classification system and event detection baseline system using mel frequency cepstral coefficients and Gaussian mixture models. The database is publicly released to provide support for algorithm development and common ground for comparison of different techniques.",Described in full text/abstract.,Described in full text.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1109/eusipco.2016.7760424
A Unifying Review of Deep and Shallow Anomaly Detection,"Lukas Ruff, Jacob R. Kauffmann, Robert A. Vandermeulen, Gregoire Montavon, Wojciech Samek et al.",Proceedings of the IEEE,2021,"Deep learning approaches to anomaly detection (AD) have recently improved the state of the art in detection performance on complex data sets, such as large collections of images or text. These results have sparked a renewed interest in the AD problem and led to the introduction of a great variety of new methods. With the emergence of numerous such methods, including approaches based on generative models, one-class classification, and reconstruction, there is a growing need to bring methods of this field into a systematic and unified perspective. In this review, we aim to identify the common underlying principles and the assumptions that are often made implicitly by various methods. In particular, we draw connections between classic “shallow” and novel deep approaches and show how this relation might cross-fertilize or extend both directions. We further provide an empirical assessment of major existing methods that are enriched by the use of recent explainability techniques and present specific worked-through examples together with practical advice. Finally, we outline critical open challenges and identify specific paths for future research in AD.",See abstract for proposed approach/methodology.,See abstract for key results.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1109/jproc.2021.3052449
WSN for forest monitoring to prevent illegal logging,"Jozef Papán, Matos Jurecka, Jana Púchyová",Unknown Source,2012,Illegal logging is in these days widespread problem. In this paper we propose the system based on principles of WSN for monitoring the forest. Acoustic signal processing and evaluation system described in this paper is dealing with the detection of chainsaw sound with autocorrelation method. This work is describing first steps in building the integrated system.,See abstract for proposed approach/methodology.,Described in full text.,Must consult full paper for limitations.,Must consult full paper for future work.,https://openalex.org/W1517749450
Improved biosecurity surveillance of non-native forest insects: a review of current methods,"Therese M. Poland, Davide Rassati",Journal of Pest Science,2018,No abstract available.,Described in full text/abstract.,Described in full text.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1007/s10340-018-1004-y
"Innovative Hybrid UAV Design, Development, and Manufacture for Forest Preservation and Acoustic Surveillance","Gabriel-Petre Badea, Tiberius Florian Frigioescu, Mădălin Dombrovschi, Grigore Cican, Marius Dima et al.",Inventions,2024,"The research described in this paper focuses on the development of an innovative unmanned aerial vehicle (UAV) tailored for a specific mission: detecting the acoustic signature emitted by chainsaws, identifying deforestation, and reporting its location for legality assessment. Various calculations were conducted to determine the optimal solution, resulting in the choice of a fixed-wing UAV. A comparative analysis between tri-rotor and quadcopter systems was performed, leading to the selection of the tri-rotor configuration. The primary objective of this study is to design an innovative hybrid UAV concept with key features including a fixed-wing design and integrated VTOL (vertical takeoff and landing) capability in the experimental model. The aircraft has been constructed using advanced materials such as fiber-reinforced polymer composites, manufactured using both conventional and advanced techniques like continuous fiber additive manufacturing and the use of a polymer matrix. Additionally, the aerodynamic configuration is optimized to achieve a cruise speed of approximately 50 km/h and a flight autonomy exceeding 3 h. The UAV has been equipped with payloads for mounting sensors to collect meteorological data, and crucially, the VTOL system has been optimized to vectorize thrust for improved performance during the transition from hover to cruise flight. This paper details the entire manufacturing and assembly process of the drone, covering both the structural framework and associated electrical installations. A dedicated sound detection system is incorporated into the drone to identify chainsaw noise, with the aim of preventing deforestation.",Described in full text/abstract.,See abstract for key results.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.3390/inventions9020039
Nonnative forest insects and pathogens in the United States: Impacts and policy options,"Gary M. Lovett, Marissa S. Weiss, Andrew M. Liebhold, Thomas P. Holmes, Brian Leung et al.",Ecological Applications,2016,"We review and synthesize information on invasions of nonnative forest insects and diseases in the United States, including their ecological and economic impacts, pathways of arrival, distribution within the United States, and policy options for reducing future invasions. Nonnative insects have accumulated in United States forests at a rate of ~2.5 per yr over the last 150 yr. Currently the two major pathways of introduction are importation of live plants and wood packing material such as pallets and crates. Introduced insects and diseases occur in forests and cities throughout the United States, and the problem is particularly severe in the Northeast and Upper Midwest. Nonnative forest pests are the only disturbance agent that has effectively eliminated entire tree species or genera from United States forests within decades. The resulting shift in forest structure and species composition alters ecosystem functions such as productivity, nutrient cycling, and wildlife habitat. In urban and suburban areas, loss of trees from streets, yards, and parks affects aesthetics, property values, shading, stormwater runoff, and human health. The economic damage from nonnative pests is not yet fully known, but is likely in the billions of dollars per year, with the majority of this economic burden borne by municipalities and residential property owners. Current policies for preventing introductions are having positive effects but are insufficient to reduce the influx of pests in the face of burgeoning global trade. Options are available to strengthen the defenses against pest arrival and establishment, including measures taken in the exporting country prior to shipment, measures to ensure clean shipments of plants and wood products, inspections at ports of entry, and post-entry measures such as quarantines, surveillance, and eradication programs. Improved data collection procedures for inspections, greater data accessibility, and better reporting would support better evaluation of policy effectiveness. Lack of additional action places the nation, local municipalities, and property owners at high risk of further damaging and costly invasions. Adopting stronger policies to reduce establishments of new forest insects and diseases would shift the major costs of control to the source and alleviate the economic burden now borne by homeowners and municipalities.",Described in full text/abstract.,See abstract for key results.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1890/15-1176
Efficient Deep CNN-Based Fire Detection and Localization in Video Surveillance Applications,"Khan Muhammad, Jamil Ahmad, Zhihan Lv, Paolo Bellavista, Po Yang et al.",IEEE Transactions on Systems Man and Cybernetics Systems,2018,"Convolutional neural networks (CNNs) have yielded state-of-the-art performance in image classification and other computer vision tasks. Their application in fire detection systems will substantially improve detection accuracy, which will eventually minimize fire disasters and reduce the ecological and social ramifications. However, the major concern with CNN-based fire detection systems is their implementation in real-world surveillance networks, due to their high memory and computational requirements for inference. In this paper, we propose an original, energy-friendly, and computationally efficient CNN architecture, inspired by the SqueezeNet architecture for fire detection, localization, and semantic understanding of the scene of the fire. It uses smaller convolutional kernels and contains no dense, fully connected layers, which helps keep the computational requirements to a minimum. Despite its low computational needs, the experimental results demonstrate that our proposed solution achieves accuracies that are comparable to other, more complex models, mainly due to its increased depth. Moreover, this paper shows how a tradeoff can be reached between fire detection accuracy and efficiency, by considering the specific characteristics of the problem of interest and the variety of fire data.",See abstract for proposed approach/methodology.,See abstract for key results.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1109/tsmc.2018.2830099
Emerging opportunities and challenges for passive acoustics in ecological assessment and monitoring,"Rory Gibb, Ella Browning, Paul Glover‐Kapfer, Kate E. Jones",Methods in Ecology and Evolution,2018,"Abstract High‐throughput environmental sensing technologies are increasingly central to global monitoring of the ecological impacts of human activities. In particular, the recent boom in passive acoustic sensors has provided efficient, noninvasive, and taxonomically broad means to study wildlife populations and communities, and monitor their responses to environmental change. However, until recently, technological costs and constraints have largely confined research in passive acoustic monitoring ( PAM ) to a handful of taxonomic groups (e.g., bats, cetaceans, birds), often in relatively small‐scale, proof‐of‐concept studies. The arrival of low‐cost, open‐source sensors is now rapidly expanding access to PAM technologies, making it vital to evaluate where these tools can contribute to broader efforts in ecology and biodiversity research. Here, we synthesise and critically assess the current emerging opportunities and challenges for PAM for ecological assessment and monitoring of both species populations and communities. We show that terrestrial and marine PAM applications are advancing rapidly, facilitated by emerging sensor hardware, the application of machine learning innovations to automated wildlife call identification, and work towards developing acoustic biodiversity indicators. However, the broader scope of PAM research remains constrained by limited availability of reference sound libraries and open‐source audio processing tools, especially for the tropics, and lack of clarity around the accuracy, transferability and limitations of many analytical methods. In order to improve possibilities for PAM globally, we emphasise the need for collaborative work to develop standardised survey and analysis protocols, publicly archived sound libraries, multiyear audio datasets, and a more robust theoretical and analytical framework for monitoring vocalising animal communities.",See abstract for proposed approach/methodology.,Described in full text.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1111/2041-210x.13101
"Methods for wildlife monitoring in tropical forests: Comparing human observations, camera traps, and passive acoustic sensors","Joeri A. Zwerts, P. J. Stephenson, Fiona Maisels, J. Marcus Rowcliffe, Christos Astaras et al.",Conservation Science and Practice,2021,"Abstract Wildlife monitoring is essential for conservation science and data‐driven decision‐making. Tropical forests pose a particularly challenging environment for monitoring wildlife due to the dense vegetation, and diverse and cryptic species with relatively low abundances. The most commonly used monitoring methods in tropical forests are observations made by humans (visual or acoustic), camera traps, or passive acoustic sensors. These methods come with trade‐offs in terms of species coverage, accuracy and precision of population metrics, available technical expertise, and costs. Yet, there are no reviews that compare the characteristics of these methods in detail. Here, we comprehensively review the advantages and limitations of the three mentioned methods, by asking four key questions that are always important in relation to wildlife monitoring: (1) What are the target species?; (2) Which population metrics are desirable and attainable?; (3) What expertise, tools, and effort are required for species identification?; and (4) Which financial and human resources are required for data collection and processing? Given the diversity of monitoring objectives and circumstances, we do not aim to conclusively prescribe particular methods for all situations. Neither do we claim that any one method is superior to others. Rather, our review aims to support scientists and conservation practitioners in understanding the options and criteria that must be considered in choosing the appropriate method, given the objectives of their wildlife monitoring efforts and resources available. We focus on tropical forests because of their high conservation priority, although the information put forward is also relevant for other biomes.",See abstract for proposed approach/methodology.,Described in full text.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1111/csp2.568
AudioMoth: A low-cost acoustic device for monitoring biodiversity and the environment,"Andrew P. Hill, Peter Prince, Jake L. Snaddon, C. Patrick Doncaster, Alex Rogers",HardwareX,2019,"Environmental sound is a powerful data source for investigating ecosystem health. To capture it, scientists commonly use ruggedized, but expensive acoustic monitoring equipment. In this paper we fully describe the hardware build of a low-cost, small, full-spectrum alternative, called AudioMoth. The credit-card sized device consists of a printed circuit board, micro-controller and a micro-electro-mechanical systems microphone. This simple to construct device facilitates: (1) deployments in remote locations, with a small size and a simple mechanism that allows it to be retrofitted into numerous low-cost ruggedized enclosures; (2) long-term monitoring, with low-power operation; (3) modular expansion, with easy to access general purpose input and output pins; and (4) acoustic detection, with onboard processing power.",Described in full text/abstract.,Described in full text.,Must consult full paper for limitations.,Must consult full paper for future work.,https://doi.org/10.1016/j.ohx.2019.e00073
